track_id,spotify_track_uri
015PThyoU4QD0siLoLpRmr,spotify:track:015PThyoU4QD0siLoLpRmr
015qFnC5HMZs5o3mzWQ8dL,spotify:track:015qFnC5HMZs5o3mzWQ8dL
016HKF7A4O7tatoJ9BgZM1,spotify:track:016HKF7A4O7tatoJ9BgZM1
016MRy91pqcNePiLcJjExm,spotify:track:016MRy91pqcNePiLcJjExm
016b0joR6JPCp9bUZQosuf,spotify:track:016b0joR6JPCp9bUZQosuf
018R9M8sw5re7Jh1McuOqs,spotify:track:018R9M8sw5re7Jh1McuOqs
0190gBzZ8qiOpSwFcN3fff,spotify:track:0190gBzZ8qiOpSwFcN3fff
019OgLFesicCMDIaHE3AR7,spotify:track:019OgLFesicCMDIaHE3AR7
019nCw70YzdSrCxpcoo44t,spotify:track:019nCw70YzdSrCxpcoo44t
019nWvf56foIMDZ5jTi6IQ,spotify:track:019nWvf56foIMDZ5jTi6IQ
01AwwfC3sYLbtmECslpj2O,spotify:track:01AwwfC3sYLbtmECslpj2O
01B4rEXzXvSP7KARcmUIi2,spotify:track:01B4rEXzXvSP7KARcmUIi2
01BM4hq04G52sSR1poyHb1,spotify:track:01BM4hq04G52sSR1poyHb1
01BSxZZYQll07mcFBL33ZP,spotify:track:01BSxZZYQll07mcFBL33ZP
01BdOZPqF7g1m9ufizq42e,spotify:track:01BdOZPqF7g1m9ufizq42e
01BuGDsak2sRcIFCZuwFFZ,spotify:track:01BuGDsak2sRcIFCZuwFFZ
01C25YpwIbwQQUZKf2KQpQ,spotify:track:01C25YpwIbwQQUZKf2KQpQ
01C99WmRj8HKFvCwJlaGyD,spotify:track:01C99WmRj8HKFvCwJlaGyD
01Ce5in2fuJLegsZbCAwbD,spotify:track:01Ce5in2fuJLegsZbCAwbD
01D9VxEaLHEydz3q5tTnX5,spotify:track:01D9VxEaLHEydz3q5tTnX5
01DPkENT9OvYAkAnS67JVC,spotify:track:01DPkENT9OvYAkAnS67JVC
01Dc5vTMc9axpkvDUy0yiD,spotify:track:01Dc5vTMc9axpkvDUy0yiD
01E7oUgeCqI0RQkVAaCKoy,spotify:track:01E7oUgeCqI0RQkVAaCKoy
01E97908af7cRmFC9XXekH,spotify:track:01E97908af7cRmFC9XXekH
01ERCYjV2Q75t2hvT5TQXI,spotify:track:01ERCYjV2Q75t2hvT5TQXI
01Ew8Rige7V7HqeWOL9OAu,spotify:track:01Ew8Rige7V7HqeWOL9OAu
01F1JXtbFznFibiBuTpqzt,spotify:track:01F1JXtbFznFibiBuTpqzt
01FE6U9SomqAMmnmAX1LUk,spotify:track:01FE6U9SomqAMmnmAX1LUk
01FewOTOeVj75RV6BYygod,spotify:track:01FewOTOeVj75RV6BYygod
01HHVuCx2hBQLl2aZExNAc,spotify:track:01HHVuCx2hBQLl2aZExNAc
01HKNogHRJqtsAYnOQz3V4,spotify:track:01HKNogHRJqtsAYnOQz3V4
01HoaDNqU6ZrXYj0GIDQjv,spotify:track:01HoaDNqU6ZrXYj0GIDQjv
01I46TMMPM1zZcmeRut5Pc,spotify:track:01I46TMMPM1zZcmeRut5Pc
01JIBiK28WrG4TVANW8hJY,spotify:track:01JIBiK28WrG4TVANW8hJY
01JYvQ6udfhUw9Jed9EzoK,spotify:track:01JYvQ6udfhUw9Jed9EzoK
01JkrDSrakX5UO5knhpKNA,spotify:track:01JkrDSrakX5UO5knhpKNA
01K4zKU104LyJ8gMb7227B,spotify:track:01K4zKU104LyJ8gMb7227B
01K8FuAOKwGnrxwG5I9NVQ,spotify:track:01K8FuAOKwGnrxwG5I9NVQ
01KKl5b6fPZ6dkoHnvVIXQ,spotify:track:01KKl5b6fPZ6dkoHnvVIXQ
01KXHm2l5J20GytQlCIH9k,spotify:track:01KXHm2l5J20GytQlCIH9k
01LTZHDbQ1wAjulCYZb8lB,spotify:track:01LTZHDbQ1wAjulCYZb8lB
01Mgf3GGm5oEzUcwPRHROa,spotify:track:01Mgf3GGm5oEzUcwPRHROa
01NTSMfoFJEAsQSJo9kFC5,spotify:track:01NTSMfoFJEAsQSJo9kFC5
01NckKhk1BhBmGyIffNbxT,spotify:track:01NckKhk1BhBmGyIffNbxT
01Nhp2GjmINObNDGBveGV1,spotify:track:01Nhp2GjmINObNDGBveGV1
01NuSywfh0QC1aGmHtkCXx,spotify:track:01NuSywfh0QC1aGmHtkCXx
01O0zoBzfXnnEZjLwEImGG,spotify:track:01O0zoBzfXnnEZjLwEImGG
01O10r14rk0k1I7bTuFqog,spotify:track:01O10r14rk0k1I7bTuFqog
01O4Qaa7Ydd8U2MUfMVUbV,spotify:track:01O4Qaa7Ydd8U2MUfMVUbV
01OqcCMrDvoVvNdIPAy92B,spotify:track:01OqcCMrDvoVvNdIPAy92B
01PI1nm7iCNGtGmqFGPDeW,spotify:track:01PI1nm7iCNGtGmqFGPDeW
01Pia1YlEk9yPczMWTNzCn,spotify:track:01Pia1YlEk9yPczMWTNzCn
01Q1QVzXToNlHRrytdtpR3,spotify:track:01Q1QVzXToNlHRrytdtpR3
01Q8bAneKdVSjgTcRo9uCO,spotify:track:01Q8bAneKdVSjgTcRo9uCO
01QRud2KWuhd0je58fbzkE,spotify:track:01QRud2KWuhd0je58fbzkE
01RsYNcyTNjhGBoWCxLNJT,spotify:track:01RsYNcyTNjhGBoWCxLNJT
01T8pPKCtPDcYVf6J7LOiH,spotify:track:01T8pPKCtPDcYVf6J7LOiH
01Tqls1vl0HPw0zDzCBLjl,spotify:track:01Tqls1vl0HPw0zDzCBLjl
01TvwZMbABHX5ZafvBZqVx,spotify:track:01TvwZMbABHX5ZafvBZqVx
01UfbUayBBOQMJlpinEo9l,spotify:track:01UfbUayBBOQMJlpinEo9l
01UgMLytEqNVhC6YAMzsrh,spotify:track:01UgMLytEqNVhC6YAMzsrh
